,0,1,2
0,['DeAndre Hopkins'],['Julian Edelman'],['A.J. Green']
1,['DeAndre Hopkins'],['Julian Edelman'],['Brandon Marshall']
2,['DeAndre Hopkins'],['Julian Edelman'],['Larry Fitzgerald']
3,['DeAndre Hopkins'],['Julian Edelman'],['T.Y. Hilton']
4,['DeAndre Hopkins'],['Julian Edelman'],['Jarvis Landry']
5,['DeAndre Hopkins'],['Julian Edelman'],['Allen Robinson']
6,['DeAndre Hopkins'],['Julian Edelman'],['Allen Hurns']
7,['DeAndre Hopkins'],['Julian Edelman'],['Eric Decker']
8,['DeAndre Hopkins'],['Julian Edelman'],['Mike Wallace']
9,['DeAndre Hopkins'],['Julian Edelman'],['Anquan Boldin']
10,['DeAndre Hopkins'],['Julian Edelman'],['Kamar Aiken']
11,['DeAndre Hopkins'],['Julian Edelman'],['Rishard Matthews']
12,['DeAndre Hopkins'],['Julian Edelman'],['Doug Baldwin']
13,['DeAndre Hopkins'],['Julian Edelman'],['Marvin Jones']
14,['DeAndre Hopkins'],['Julian Edelman'],['Ted Ginn Jr.']
15,['DeAndre Hopkins'],['Julian Edelman'],['Malcom Floyd']
16,['DeAndre Hopkins'],['Julian Edelman'],['Cecil Shorts III']
17,['DeAndre Hopkins'],['Julian Edelman'],['Josh Huff']
18,['DeAndre Hopkins'],['Julian Edelman'],['Andrew Hawkins']
19,['DeAndre Hopkins'],['Julian Edelman'],['Michael Floyd']
20,['DeAndre Hopkins'],['Julian Edelman'],['Marlon Brown']
21,['DeAndre Hopkins'],['A.J. Green'],['Brandon Marshall']
22,['DeAndre Hopkins'],['A.J. Green'],['Larry Fitzgerald']
23,['DeAndre Hopkins'],['A.J. Green'],['T.Y. Hilton']
24,['DeAndre Hopkins'],['A.J. Green'],['Jarvis Landry']
25,['DeAndre Hopkins'],['A.J. Green'],['Allen Robinson']
26,['DeAndre Hopkins'],['A.J. Green'],['Allen Hurns']
27,['DeAndre Hopkins'],['A.J. Green'],['Eric Decker']
28,['DeAndre Hopkins'],['A.J. Green'],['Mike Wallace']
29,['DeAndre Hopkins'],['A.J. Green'],['Anquan Boldin']
30,['DeAndre Hopkins'],['A.J. Green'],['Kamar Aiken']
31,['DeAndre Hopkins'],['A.J. Green'],['Rishard Matthews']
32,['DeAndre Hopkins'],['A.J. Green'],['Doug Baldwin']
33,['DeAndre Hopkins'],['A.J. Green'],['Marvin Jones']
34,['DeAndre Hopkins'],['A.J. Green'],['Ted Ginn Jr.']
35,['DeAndre Hopkins'],['A.J. Green'],['Malcom Floyd']
36,['DeAndre Hopkins'],['A.J. Green'],['Cecil Shorts III']
37,['DeAndre Hopkins'],['A.J. Green'],['Josh Huff']
38,['DeAndre Hopkins'],['A.J. Green'],['Andrew Hawkins']
39,['DeAndre Hopkins'],['A.J. Green'],['Michael Floyd']
40,['DeAndre Hopkins'],['A.J. Green'],['Marlon Brown']
41,['DeAndre Hopkins'],['Brandon Marshall'],['Larry Fitzgerald']
42,['DeAndre Hopkins'],['Brandon Marshall'],['T.Y. Hilton']
43,['DeAndre Hopkins'],['Brandon Marshall'],['Jarvis Landry']
44,['DeAndre Hopkins'],['Brandon Marshall'],['Allen Robinson']
45,['DeAndre Hopkins'],['Brandon Marshall'],['Allen Hurns']
46,['DeAndre Hopkins'],['Brandon Marshall'],['Eric Decker']
47,['DeAndre Hopkins'],['Brandon Marshall'],['Mike Wallace']
48,['DeAndre Hopkins'],['Brandon Marshall'],['Anquan Boldin']
49,['DeAndre Hopkins'],['Brandon Marshall'],['Kamar Aiken']
50,['DeAndre Hopkins'],['Brandon Marshall'],['Rishard Matthews']
51,['DeAndre Hopkins'],['Brandon Marshall'],['Doug Baldwin']
52,['DeAndre Hopkins'],['Brandon Marshall'],['Marvin Jones']
53,['DeAndre Hopkins'],['Brandon Marshall'],['Ted Ginn Jr.']
54,['DeAndre Hopkins'],['Brandon Marshall'],['Malcom Floyd']
55,['DeAndre Hopkins'],['Brandon Marshall'],['Cecil Shorts III']
56,['DeAndre Hopkins'],['Brandon Marshall'],['Josh Huff']
57,['DeAndre Hopkins'],['Brandon Marshall'],['Andrew Hawkins']
58,['DeAndre Hopkins'],['Brandon Marshall'],['Michael Floyd']
59,['DeAndre Hopkins'],['Brandon Marshall'],['Marlon Brown']
60,['DeAndre Hopkins'],['Larry Fitzgerald'],['T.Y. Hilton']
61,['DeAndre Hopkins'],['Larry Fitzgerald'],['Jarvis Landry']
62,['DeAndre Hopkins'],['Larry Fitzgerald'],['Allen Robinson']
63,['DeAndre Hopkins'],['Larry Fitzgerald'],['Allen Hurns']
64,['DeAndre Hopkins'],['Larry Fitzgerald'],['Eric Decker']
65,['DeAndre Hopkins'],['Larry Fitzgerald'],['Mike Wallace']
66,['DeAndre Hopkins'],['Larry Fitzgerald'],['Anquan Boldin']
67,['DeAndre Hopkins'],['Larry Fitzgerald'],['Kamar Aiken']
